X,Y,fid,id,nMunicipio,icon_url,ENTIDAD,MUNICIPIO,NOMBRE,MunicipioId,tLISTA_NOMINAL,tTOTAL_VOTOS,tPAN,tPRI,tPRD,tPVEM,tPT,tMC,tMORENA,tPAN_PRI_PRD,tPAN_PRI,tPAN_PRD,tPRI_PRD,tPVEM_PT_MORENA,tPVEM_PT,tPVEM_MORENA,tPT_MORENA,cJuntos,cSigamos,GANADOR,porJuntos,porSigamos
-106.512467787509,30.6178245721455,3,,1,./0.png,8,1,AHUMADA,"1",10165,7195,1397,637,162,215,1912,661,1574,94,54,3,0,91,22,21,91,2347,3926,cSigamos,32.6198749131341,54.5656706045865
-105.912052321475,28.837579471525,4,,2,./0.png,8,2,ALDAMA,"2",23317,12503,2912,1100,325,740,546,786,4818,178,76,13,4,264,42,72,114,4608,6596,cSigamos,36.8551547628569,52.7553387187075
-105.392800916091,26.9289811558778,5,,3,./0.png,8,3,ALLENDE,"3",7344,4905,501,1395,81,96,283,280,1931,60,29,1,4,46,12,16,21,2071,2405,cSigamos,42.2222222222222,49.0316004077472
-105.886759905319,28.5946798251025,6,,4,./0.png,8,4,AQUILES SERDAN,"4",15706,7335,649,2288,65,748,169,328,2494,76,36,1,4,125,11,48,29,3119,3624,cSigamos,42.5221540558964,49.4069529652352
-107.996167429167,31.0922208821972,7,,5,./0.png,8,5,ASCENSION,"5",20759,11052,1445,1000,628,1032,417,1415,3881,177,37,8,7,196,27,75,122,3302,5750,cSigamos,29.8769453492581,52.0267824828085
-107.254115613118,28.7647836603647,8,,6,./1.png,8,6,BACHINIVA,"6",5894,3597,1519,130,20,126,48,84,1271,42,42,4,3,37,16,25,19,1760,1542,cJuntos,48.9296636085627,42.8690575479566
-106.346404021752,26.953686139739,9,,7,./1.png,8,7,BALLEZA,"7",13759,6985,269,3258,27,519,75,861,820,94,118,3,10,40,30,35,4,3779,1523,cJuntos,54.101646385111,21.8038654259127
-107.73957411334,27.0265075469496,10,,8,./0.png,8,8,BATOPILAS DE MANUEL GOMEZ MORIN,"8",8045,4866,310,1151,67,149,193,82,2075,30,45,6,3,65,27,28,22,1612,2559,cSigamos,33.127825729552,52.5893958076449
-107.589055368356,27.8406869490133,11,,9,./1.png,8,9,BOCOYNA,"9",21579,13043,3269,1032,88,249,190,3056,3836,141,159,9,4,87,17,32,26,4702,4437,cJuntos,36.0499884995783,34.0182473357356
-107.471443452338,29.843476603272,12,,10,./0.png,8,10,BUENAVENTURA,"10",20296,10155,1577,2619,126,278,516,311,3731,74,97,4,8,191,38,62,109,4505,4925,cSigamos,44.3623830625308,48.4982767109798
-105.172049247259,27.6954136888671,13,,11,./1.png,8,11,CAMARGO,"11",41165,24326,8962,2164,245,632,518,4600,5382,448,188,13,5,220,34,40,76,12025,6902,cJuntos,49.4327057469374,28.3729343089698
-107.056548116379,27.916433234882,14,,12,./0.png,8,12,CARICHI,"12",8013,5091,257,1712,42,1910,41,33,453,133,33,7,12,15,15,37,2,2196,2473,cSigamos,43.1349440188568,48.5759182871734
-107.949431526069,30.3755891368634,15,,13,./0.png,8,13,CASAS GRANDES,"13",12176,6365,939,1374,193,235,251,329,2346,138,57,7,20,83,15,37,50,2728,3017,cSigamos,42.8593872741555,47.3998428908091
-105.158224512599,26.7375704715195,16,,14,./1.png,8,14,CORONADO,"14",1984,1606,789,102,9,22,40,313,221,4,30,1,0,2,4,0,1,935,290,cJuntos,58.2191780821918,18.0572851805729
-105.094636955419,29.4615074468413,17,,15,./1.png,8,15,COYAME DEL SOTOL,"15",2290,1581,84,264,542,14,17,10,585,7,1,3,0,8,2,1,1,901,628,cJuntos,56.989247311828,39.7216951296648
-105.196121960269,27.8638979755758,18,,16,./1.png,8,16,LA CRUZ,"16",3713,2396,836,354,28,40,23,696,237,46,35,0,1,11,2,6,5,1300,324,cJuntos,54.2570951585977,13.5225375626043
-106.865890056708,28.406472790433,19,,17,./1.png,8,17,CUAUHTEMOC,"17",144999,69231,23638,5574,785,2632,2092,4656,23815,1153,484,42,14,1132,220,360,392,31690,30643,cJuntos,45.7742918634716,44.2619635712325
-106.83686101792,28.2412807640763,20,,18,./1.png,8,18,CUSIHUIRIACHI,"18",5557,3005,699,853,43,309,66,144,521,56,30,1,1,17,6,11,2,1683,932,cJuntos,56.0066555740433,31.0149750415973
-106.076333379897,28.6367975651233,21,,19,./1.png,8,19,CHIHUAHUA,"19",755331,441240,176845,35439,6972,14152,10365,27325,136256,7977,2612,304,170,9174,776,2066,2012,230319,174801,cJuntos,52.1981234702203,39.6158553168344
-108.536812082993,27.3924508195362,22,,20,./0.png,8,20,CHINIPAS,"20",5070,3723,231,605,23,63,104,88,2167,126,54,1,0,23,10,24,13,1040,2404,cSigamos,27.9344614558152,64.5715820574805
-105.471079218117,28.1929980160367,23,,21,./0.png,8,21,DELICIAS,"21",123675,68110,22996,4925,696,2099,2252,3853,25908,1045,391,26,9,1469,196,305,410,30088,32639,cSigamos,44.1755982968727,47.921010130671
-106.476927444957,28.1548039571575,24,,22,./0.png,8,22,DR. BELISARIO DOMINGUEZ,"22",3270,1818,188,288,36,73,386,219,445,18,8,0,1,10,6,2,12,539,934,cSigamos,29.6479647964796,51.3751375137514
-107.6166610158,30.1129206156923,25,,23,./1.png,8,23,GALEANA,"23",5561,2965,1195,120,20,75,62,763,510,13,13,2,0,18,2,6,6,1363,679,cJuntos,45.9696458684654,22.9005059021922
-106.368279937707,28.3434388992762,26,,24,./1.png,8,24,SANTA ISABEL,"24",4665,2754,1615,132,21,37,39,375,367,20,13,4,2,16,2,3,6,1807,470,cJuntos,65.6136528685548,17.0660856935367
-107.738717703194,29.3571379266188,27,,25,./0.png,8,25,GOMEZ FARIAS,"25",6854,3382,254,853,36,134,220,135,1236,49,29,2,3,87,14,17,45,1226,1753,cSigamos,36.2507392075695,51.8332347723241
-106.508952362204,28.2520212483227,28,,26,./1.png,8,26,GRAN MORELOS,"26",3381,2059,271,371,35,71,27,754,340,22,11,1,3,4,6,2,3,714,453,cJuntos,34.6770276833414,22.0009713453133
-107.069457985214,26.819212614584,29,,27,./1.png,8,27,GUACHOCHI,"27",37596,21043,1405,7032,162,380,623,1222,7380,445,354,16,25,171,25,63,108,9439,8750,cJuntos,44.8557715154683,41.5815235470228
-106.101784740708,31.3901088545805,30,,28,./0.png,8,28,GUADALUPE,"28",4872,3180,405,397,53,139,86,160,1566,30,21,0,1,61,5,21,41,907,1919,cSigamos,28.5220125786164,60.3459119496855
-106.964758656901,26.0950274343301,31,,29,./0.png,8,29,GUADALUPE Y CALVO,"29",33189,13465,399,4706,108,368,390,278,5842,96,82,8,6,176,31,73,51,5405,6931,cSigamos,40.1411065725956,51.4741923505384
-108.281036775185,27.3717884866754,32,,30,./0.png,8,30,GUAZAPARES,"30",6954,4219,395,168,22,1139,67,526,1561,12,14,0,1,22,12,30,9,612,2840,cSigamos,14.5058070632851,67.3145295093624
-107.486773485995,28.5482391497066,33,,31,./0.png,8,31,GUERRERO,"31",30790,16382,3195,2902,225,496,677,759,6130,346,228,10,9,270,64,80,138,6915,7855,cSigamos,42.2109632523501,47.9489683799292
-105.66714165447,26.9216770490634,34,,32,./1.png,8,32,HIDALGO DEL PARRAL,"32",91244,54280,10987,8331,637,1556,1885,12425,14093,894,373,18,16,630,94,147,262,21256,18667,cJuntos,39.1599115696389,34.3901989683125
-106.179151847325,27.0547439803686,35,,33,./0.png,8,33,HUEJOTITAN,"33",1558,1184,59,64,8,9,163,128,694,7,1,0,0,2,2,0,1,139,871,cSigamos,11.7398648648649,73.5641891891892
-107.764373714189,29.6430408332085,36,,34,./0.png,8,34,IGNACIO ZARAGOZA,"34",5385,3163,325,77,34,69,373,858,1019,13,7,1,0,64,16,7,120,457,1668,cSigamos,14.4483085678154,52.7347454947834
-108.189885306094,30.8873113018814,37,,35,./0.png,8,35,JANOS,"35",8854,4881,1430,415,45,92,86,580,1868,51,41,2,2,47,12,21,19,1986,2145,cSigamos,40.6883835279656,43.9459127228027
-104.923264023633,27.1304427928737,38,,36,./0.png,8,36,JIMENEZ,"36",31073,18068,2718,2084,704,858,758,2134,7257,288,68,12,10,344,52,104,95,5884,9468,cSigamos,32.5658622979854,52.4020367500553
-106.484908932239,31.7465630695815,39,,37,./0.png,8,37,JUAREZ,"37",1249310,608090,78400,33046,4316,27375,21513,42628,348391,4491,1430,147,153,19908,1594,5118,5137,121983,429036,cSigamos,20.0600240096038,70.554687628476
-105.430404387248,28.4229491671293,40,,38,./1.png,8,38,JULIMES,"38",4997,2843,620,759,17,309,23,472,407,43,41,0,0,19,0,19,7,1480,784,cJuntos,52.05768554344,27.5765036932817
-105.03333345293,27.0025042529607,41,,39,./0.png,8,39,LOPEZ,"39",3676,2745,209,639,18,43,628,628,409,17,22,1,2,8,6,4,7,908,1105,cSigamos,33.0783242258652,40.2550091074681
-108.141175213271,29.1902029150365,42,,40,./0.png,8,40,MADERA,"40",20514,11927,3247,674,132,412,234,1081,4974,146,73,12,3,137,29,61,47,4287,5894,cSigamos,35.9436572482603,49.4172885050725
